kml_nombre,kml_lat,kml_lon,kml_capa,kml_category,action,osm_id,osm_name,distance_m,notes
PP-6,-8.0706665,-78.9972567,Consolidado,green,new,,,,
PP-60,-8.0886327,-78.9939937,Consolidado,green,new,,,,
PP-75,-8.0706249,-78.9973603,Consolidado,green,new,,,,
PP-84,-8.0703517,-78.9885965,Consolidado,green,new,,,,
PP-90,-8.0794839,-79.0000633,Consolidado,green,new,,,,
PT-160,-8.1284649,-79.0420651,DATA SET Victor Larco.csv Events,green,new,,,,
PT-183,-8.1257924,-79.0459576,DATA SET Victor Larco.csv Events,green,new,,,,
PT-185,-8.1260118,-79.0459134,DATA SET Victor Larco.csv Events,green,new,,,,
PVL-10,-8.1400331,-79.0461648,DATA SET Victor Larco.csv Events,green,new,,,,
PVL-14,-8.1485718,-79.0468642,DATA SET Victor Larco.csv Events,green,new,,,,
PVL-21,-8.1310870,-79.0445230,DATA SET Victor Larco.csv Events,green,new,,,,
PVL-25,-8.1339475,-79.0357809,DATA SET Victor Larco.csv Events,green,new,,,,
PVL-26,-8.1367137,-79.0375234,DATA SET Victor Larco.csv Events,green,new,,,,
PVL-27,-8.1371477,-79.0439149,DATA SET Victor Larco.csv Events,green,new,,,,
PVL-28,-8.1397377,-79.0462118,DATA SET Victor Larco.csv Events,green,new,,,,
PVL-32,-8.1487138,-79.0469936,DATA SET Victor Larco.csv Events,green,new,,,,
PVL-36,-8.1315145,-79.0509294,DATA SET Victor Larco.csv Events,green,new,,,,
PVL-37,-8.1314687,-79.0507061,DATA SET Victor Larco.csv Events,green,new,,,,
PVL-41,-8.1345713,-79.0476012,DATA SET Victor Larco.csv Events,green,new,,,,
PVL-47,-8.1281665,-79.0407967,DATA SET Victor Larco.csv Events,green,new,,,,
PVL-48,-8.1295878,-79.0370919,DATA SET Victor Larco.csv Events,green,new,,,,
PVL-7,-8.1337548,-79.0353250,DATA SET Victor Larco.csv Events,green,new,,,,
