trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type
19946662,06:00:00,06:00:00,SYNTH_START_19946662,1,0,1
19946662,06:01:00,06:01:00,PH-102,2,0,0
19946662,06:03:00,06:03:00,PH-103,3,0,0
19946662,06:04:00,06:04:00,PH-104,4,0,0
19946662,06:05:00,06:05:00,PH-101,5,0,0
19946662,06:09:00,06:09:00,PH-109,6,0,0
19946662,06:10:00,06:10:00,PH-110,7,0,0
19946662,06:11:00,06:11:00,PH-111,8,0,0
19946662,06:12:00,06:12:00,PH-112,9,0,0
19946662,06:13:00,06:13:00,PH-113,10,0,0
19946662,06:14:00,06:14:00,PH-114,11,0,0
19946662,06:17:00,06:17:00,PH-116,12,0,0
19946662,06:18:00,06:18:00,PE-98,13,0,0
19946662,06:19:00,06:19:00,PE-276,14,0,0
19946662,06:20:00,06:20:00,PE-277,15,0,0
19946662,06:21:00,06:21:00,PE-273,16,0,0
19946662,06:22:00,06:22:00,PE-271,17,0,0
19946662,06:23:00,06:23:00,PE-43,18,0,0
19946662,06:24:00,06:24:00,PE-42,19,0,0
19946662,06:26:00,06:26:00,PE-50,20,0,0
19946662,06:27:00,06:27:00,PE-44,21,0,0
19946662,06:28:00,06:28:00,PE-45,22,0,0
19946662,06:29:00,06:29:00,PE-46,23,0,0
19946662,06:30:00,06:30:00,PE-301,24,0,0
19946662,06:32:00,06:32:00,TUPAT-126,25,0,0
19946662,06:34:00,06:34:00,TUPAT-124,26,0,0
19946662,06:35:00,06:35:00,TUPAT-121,27,0,0
19946662,06:37:00,06:37:00,TEVA-338,28,0,0
19946662,06:38:00,06:38:00,AMN-35,29,0,0
19946662,06:41:00,06:41:00,FEVI-219,30,0,0
19946662,06:42:00,06:42:00,FEVI-220,31,0,0
19946662,06:43:00,06:43:00,FEVI-222,32,0,0
19946662,06:44:00,06:44:00,FEVI-224,33,0,0
19946662,06:45:00,06:45:00,FEVI-226,34,0,0
19946662,06:46:00,06:46:00,CEV-185,35,0,0
19946662,06:47:00,06:47:00,CEV-186,36,0,0
19946662,06:48:00,06:48:00,AMS-63,37,0,0
19946662,06:50:00,06:50:00,AMS-66,38,0,0
19946662,06:51:00,06:51:00,AMS-64,39,0,0
19946662,06:52:00,06:52:00,AMS-62,40,0,0
19946662,06:53:00,06:53:00,AMS-40,41,0,0
19946662,06:54:00,06:54:00,AMS-55,42,0,0
19946662,06:55:00,06:55:00,AMS-53,43,0,0
19946662,06:56:00,06:56:00,AMS-57,44,0,0
19946662,06:57:00,06:57:00,AMS-37,45,0,0
19946662,06:58:00,06:58:00,AMS-36,46,0,0
