osm_id,osm_type,nombre,lat,lon,pt_type,operator,network,route_ref
4463438989,node,,-8.0996671,-79.0366778,bus_station,,,
5067216613,node,,-8.0974462,-79.0384088,bus_station,,,
5069447475,node,,-8.125677,-79.0360248,platform,,,
5069523013,node,,-8.1259685,-79.0277456,platform,,,
5084707175,node,,-8.1203682,-79.0400038,bus_stop,,,
5197288822,node,,-8.1015527,-79.044379,stop_position,,,
5456901360,node,,-8.0193846,-79.0660551,stop_position,,,
8964426717,node,,-8.1045072,-79.0348694,stop_position,,,
8974695817,node,,-8.1049072,-79.034117,platform,,,
9917348618,node,,-8.0999537,-79.0371333,bus_station,,,
11480777173,node,,-8.1115309,-79.033442,stop_position,,,
12408100901,node,,-8.0575554,-79.0604735,stop_position,,,
11910356667,node,Angel María Tanya,-8.1188594,-79.0413952,platform,,,
12121157808,node,Av. Petro Peru,-8.2182873,-78.9795096,platform,,,
11913698214,node,Avenida 12 de Noviembre,-8.08624,-79.018752,platform,,,
11896286020,node,Avenida America Norte,-8.1028601,-79.0333539,platform,,,
11910518844,node,Avenida America Norte,-8.0976209,-79.0294459,platform,,,
11910356666,node,Avenida Antenor Orrego,-8.1164736,-79.0438883,platform,,,
11910645398,node,Avenida Antenor Orrego,-8.1163833,-79.0443416,platform,,,
11910518841,node,Avenida Carlos Valderrama,-8.1004005,-79.0315059,platform,,,
11910518842,node,Avenida Carlos Valderrama,-8.0999683,-79.0314724,platform,,,
5310732024,node,Avenida Chan Chan,-8.0974278,-79.0695211,platform,,,
11911534034,node,Avenida Chan Chan,-8.0923716,-79.0816391,platform,,,
4937067022,node,Avenida Del Ejército,-8.1056158,-79.0240072,platform,,,
12121155295,node,Avenida Delfin,-8.1509417,-79.0112505,platform,,,
11910518830,node,Avenida España,-8.1110655,-79.0328291,stop_position,,,
12121155276,node,Avenida Fátima,-8.1277108,-79.0414086,platform,,,
11910359972,node,Avenida Húsares de Junín,-8.1257419,-79.0352502,platform,,,
11911534028,node,Avenida Indomerica,-8.0945319,-79.0391207,platform,,,
6818401085,node,Avenida Jesús de Nazareth,-8.1127548,-79.0344986,platform,here you can catch a combi bus or a bigger bus for Huancacho,,
11910518831,node,Avenida Jesús de Nazareth,-8.1123007,-79.034349,platform,,,
11910518832,node,Avenida Juan Pablo II,-8.1123724,-79.0348895,stop_position,,,
5099494788,node,Avenida Miraflores,-8.1053555,-79.0250708,platform,,,
11895957226,node,Avenida Miraflores,-8.1053701,-79.0257378,platform,,,
5099494790,node,Avenida Perú,-8.1072731,-79.0220781,platform,,,
8743805428,node,Avenida Perú,-8.1806225,-79.0125262,platform,,,
11895953681,node,Avenida Perú,-8.1069826,-79.0226351,platform,,,
12121155287,node,Avenida Ramón Castilla,-8.0900932,-79.0881897,platform,,,
12121155288,node,Avenida Ramón Castilla,-8.0897347,-79.0892981,platform,,,
12121155289,node,Avenida Ramón Castilla,-8.0894293,-79.089687,platform,,,
12121155290,node,Avenida Ramón Castilla,-8.0876209,-79.0951963,platform,,,
12121155291,node,Avenida Ramón Castilla,-8.0877378,-79.0954216,platform,,,
11910518836,node,Avenida Roma,-8.1047116,-79.0360187,platform,,,
11896286019,node,Avenida Teodoro Valcárcel,-8.1015489,-79.0359838,platform,,,
11910518843,node,Avenida Túpac Amaru,-8.0978818,-79.029861,platform,,,
11910518845,node,Avenida Túpac Amaru,-8.0973308,-79.0295854,platform,,,
5067622117,node,Avenida Victor Larco Herrera,-8.1247917,-79.0376674,platform,,,
11910359977,node,Avenida Victor Larco Herrera,-8.1156149,-79.0314231,stop_position,,,
12121155298,node,Avenida de La Marina,-8.177711,-79.0127418,platform,,,
12121155299,node,Avenida de La Marina,-8.1768674,-79.0125514,platform,,,
12121157806,node,Avenida de La Marina,-8.2018211,-78.9857132,platform,,,
12121157807,node,Avenida de La Marina,-8.2042044,-78.984132,platform,,,
11895968651,node,Avenida del Ejército,-8.1056463,-79.0245107,platform,,,
11910518848,node,Avenida del Ejército,-8.0961398,-79.0182678,platform,,,
11910518849,node,Avenida del Ejército,-8.0961305,-79.0178601,platform,,,
12121155277,node,Avenida del Ejército,-8.0997472,-79.019224,platform,,,
12121155278,node,Avenida la Rivera,-8.0790674,-79.1210555,platform,,,
12121155280,node,Avenida la Rivera,-8.089278,-79.1195454,platform,,,
12121155281,node,Avenida la Rivera,-8.0894041,-79.1192503,platform,,,
12121155282,node,Avenida la Rivera,-8.0917874,-79.1175149,platform,,,
12121155284,node,Avenida la Rivera,-8.0911806,-79.1042903,platform,,,
11911534032,node,Avenida las Palmeras,-8.0896152,-79.1193187,platform,,,
11910359970,node,Avenida los Colibries,-8.1258395,-79.0397792,platform,,,
11910359971,node,Avenida los Colibries,-8.125483,-79.0397108,platform,,,
