relation_id,ref,length_m,gap_start_m,gap_end_m,from,to,start_lat,start_lon,end_lat,end_lon,severity
19972130,C-27 B,23226,108,15,Avenida Circunvalación,Avenida José María Eguren,-8.0733842,-79.1193472,-8.1199714,-79.0087154,ok
19972154,C-27 B,23286,24,108,Avenida José María Eguren,Avenida Circunvalación,-8.1200654,-79.0087860,-8.0733842,-79.1193472,ok
19968383,C-19 NN,14751,105,104,Avenida Victor Raul Haya de la Torre,Barrio 5C,-8.1304479,-79.0452320,-8.0485034,-79.0072871,ok
19968388,C-19 NN,15828,83,105,Barrio 5C,Avenida Victor Raul Haya de la Torre,-8.0499007,-79.0077350,-8.1304479,-79.0452320,ok
19966288,C-07 Z1,21677,105,36,El Reposo,Calle 9 de Octubre,-7.9920742,-79.0750650,-8.0800403,-79.0246021,ok
19962194,M-19 A,13495,104,50,Manzana Ñ,Calle 8,-8.0485034,-79.0072871,-8.1141713,-79.0468541,ok
19967583,C-11 T1,25255,72,103,Calle Jirón Santa Isabel,Alto Porvenir,-8.1790864,-78.9916117,-8.0620097,-79.0338966,ok
19967604,C-11 T1,25692,103,72,Alto Porvenir,Calle Jirón Santa Isabel,-8.0620097,-79.0338966,-8.1790864,-78.9916117,ok
19967639,C-11 T1,24858,72,103,Calle Jirón Santa Isabel,Alto Porvenir,-8.1790864,-78.9916117,-8.0620097,-79.0338966,ok
19967670,C-11 T1,25295,103,72,Alto Porvenir,Calle Jirón Santa Isabel,-8.0620097,-79.0338966,-8.1790864,-78.9916117,ok
19967674,C-11 T1,25570,72,103,Panamericana Norte,Alto Porvenir,-8.1790864,-78.9916117,-8.0620097,-79.0338966,ok
19967678,C-11 T1,26009,103,72,Alto Porvenir,Panamericana Norte,-8.0620097,-79.0338966,-8.1790864,-78.9916117,ok
19967679,C-11 T1,25652,103,72,Alto Porvenir,Panamericana Norte,-8.0620097,-79.0338966,-8.1790864,-78.9916117,ok
19962432,M-26 B,32118,77,100,Futuro Barrio 5C,Calle Alfonso Ugarte,-8.0522305,-79.0066985,-8.0495085,-79.0059075,ok
19971395,M-26 B,27738,77,100,Calle Alfonso Ugarte,Futuro Barrio 5C,-8.0522305,-79.0066985,-8.0495085,-79.0059075,ok
19962394,M-25 A,15753,70,100,Calle F,Calle Liverpool,-8.0709414,-79.0163485,-8.1019746,-79.0422055,ok
19962287,M-23 B,14419,27,91,Calle Atahualpa,Calle Pedro Ruiz Gallo,-8.0671698,-79.0283428,-8.1382173,-79.0611237,ok
19962292,M-23 B,15238,91,77,Calle Pedro Ruiz Gallo,Calle Atahualpa,-8.1382173,-79.0611237,-8.0643711,-79.0281907,ok
19962294,M-23 B,14721,91,77,Calle Pedro Ruiz Gallo,Calle 7 de Julio,-8.1382173,-79.0611237,-8.0643711,-79.0281907,ok
19962298,M-23 B,13906,27,91,Calle 7 de Julio,Calle Pedro Ruiz Gallo,-8.0671698,-79.0283428,-8.1382173,-79.0611237,ok
19962300,M-23 B,15654,91,20,Calle Pedro Ruiz Gallo,Via Evitamiento Milagro,-8.1382173,-79.0611237,-8.0561124,-79.0227682,ok
19962303,M-23 B,15324,20,91,Via Evitamiento Milagro,Calle Pedro Ruiz Gallo,-8.0561124,-79.0227682,-8.1382173,-79.0611237,ok
19962313,M-23 B,15995,91,20,Calle Pedro Ruiz Gallo,Via Evitamiento Milagro,-8.1382173,-79.0611237,-8.0561124,-79.0227682,ok
19962315,M-23 B,14779,27,91,Via Evitamiento Milagro,Calle Pedro Ruiz Gallo,-8.0671698,-79.0283428,-8.1382173,-79.0611237,ok
19968178,C-43 A,22799,75,90,Avenida Miguel Grau,Calle Dieciseis,-8.1882198,-79.0066016,-8.0630419,-79.0215375,ok
19972018,M-30 D,30395,89,23,Calle César Vallejo,Calle 11,-8.1489086,-79.0477784,-8.0559679,-79.0499476,ok
19962204,M-18 C1,31692,30,84,Avenida Dos,Avenida Dos,-8.0650750,-79.0173928,-8.0649822,-79.0169131,ok
19972901,M-17 C2,37392,30,84,Avenida Dos,Avenida Dos,-8.0650750,-79.0173928,-8.0649822,-79.0169131,ok
19973156,M-18 C1,31650,84,84,Avenida Dos,Avenida Dos,-8.0649822,-79.0169131,-8.0649822,-79.0169131,ok
19976337,M-17 C2,37679,30,84,Avenida Dos,Avenida Dos,-8.0650750,-79.0173928,-8.0649822,-79.0169131,ok
19961962,M-14 C3,13248,51,82,Ciudad de Dios,Óvalo Larco,-8.0638086,-78.9911182,-8.1241880,-79.0387060,ok
19968121,C-13 D,23083,80,74,Avenida 12 de Noviembre,Calle Miguiel Graú,-8.0640975,-79.0265250,-8.1882523,-79.0066337,ok
19968129,C-45 C,26504,80,74,Avenida 12 de Noviembre,Calle Miguiel Graú,-8.0640975,-79.0265250,-8.1882523,-79.0066337,ok
19972195,C-13 D,24401,80,20,Alto Trujillo,Sector Taquila,-8.0640975,-79.0265250,-8.1871061,-79.0077263,ok
19970882,C-23 S1,20164,77,39,Calle Venezuela,Calle José Joaquín Inclán,-8.0807232,-78.9510846,-8.1216315,-79.0143501,ok
19962130,M-16 C,23070,53,76,Avenida Vallejo,Calle 8,-8.0477020,-79.0705632,-8.1133038,-79.0461236,ok
19968174,C-43 A,21684,43,74,Calle Dieciseis,Avenida Miguel Grau,-8.0626053,-79.0215797,-8.1882523,-79.0066337,ok
19968040,C-39 S,21771,72,68,Calle Jirón Santa Isabel,Calle Inca Roca,-8.1790864,-78.9916117,-8.0711328,-79.0061332,ok
19968053,C-39 S,21221,54,72,Calle Inca Roca,Calle Jirón Santa Isabel,-8.0721511,-79.0065470,-8.1790864,-78.9916117,ok
19990115,C-11 T1,23793,48,72,Alto Porvenir,Panamericana Norte,-8.0616223,-79.0286062,-8.1790864,-78.9916117,ok
19972086,C-25 S2,17241,71,48,Calle Manuel Romero,Avenida Julian Arce,-8.1276414,-79.0200906,-8.0879214,-78.9629815,ok
19972501,C-37 R,16186,57,70,Avenida Julian Arce,Rosas del Valle 1ra Etapa,-8.0871706,-78.9622093,-8.0914074,-79.0418994,ok
19972010,M-30 D,30263,69,50,Calle 11,Calle César Vallejo,-8.0569614,-79.0496226,-8.1483020,-79.0472235,ok
19953369,M-03 B,29671,10,66,Ciudad de Dios,Ciudad de Dios,-8.0911066,-79.0423568,-8.0912942,-79.0418795,ok
19972123,C-26 U,15823,62,48,Óvalo Grau,Avenida Julian Arce,-8.1230626,-79.0229815,-8.0879214,-78.9629815,ok
19966253,C-05 B1,14725,48,56,Avenida Federico Villarreal,Calle Jirón Cuba,-8.1032458,-79.0021649,-8.0499128,-79.0685190,ok
19972474,C-39 S,21403,54,9,Calle Inca Roca,Calle Jirón Santa Isabel,-8.0721511,-79.0065470,-8.1785825,-78.9922665,ok
19972475,C-39 S,22074,9,54,Avenida San José,Calle Ascencio Vergara,-8.1785825,-78.9922665,-8.0721511,-79.0065470,ok
19971942,M-13 C1,24729,51,51,Ciudad de Dios,Ciudad de Dios,-8.0638086,-78.9911182,-8.0638086,-78.9911182,ok
19971999,M-15 C2,30676,51,51,Ciudad de Dios,Sector Santa María Alta,-8.0638086,-78.9911182,-8.0638086,-78.9911182,ok
19976301,M-15 C2,32678,51,51,Sector Santa María Alta,Ciudad de Dios,-8.0638086,-78.9911182,-8.0638086,-78.9911182,ok
19972466,C-40 W,22714,9,48,Avenida San José,Barrio 1B,-8.1785825,-78.9922665,-8.0622518,-79.0320182,ok
19972472,C-44 T2,25332,9,48,Avenida San José,Barrio 1B,-8.1785825,-78.9922665,-8.0622518,-79.0320182,ok
19962213,M-20 C,31077,34,48,Sector Nuevo Horizonte,Avenida 12 de Noviembre,-8.2191561,-78.9717644,-8.0648636,-79.0223039,ok
19966297,C-07 Z1,21254,43,12,Calle 9 de Octubre,El Reposo,-8.0799678,-79.0238453,-7.9930206,-79.0745743,ok
19965854,M-35 D,15938,43,40,Avenida Del Contador,Vía Panamericana,-8.1178827,-79.0053727,-8.0454902,-79.0696424,ok
19971409,M-27 AB,20614,42,14,Avenida Libertad,Avenida Libertad,-8.0935094,-78.9962529,-8.0936075,-78.9967397,ok
19971408,M-27 AB,17813,29,29,Avenida Libertad,Avenida Libertad,-8.0935320,-78.9963647,-8.0935320,-78.9963647,ok
19972458,C-40 W,22890,26,9,Barrio 1B,Avenida San José,-8.0628599,-79.0321708,-8.1785825,-78.9922665,ok
19972467,C-44 T2,25528,26,9,Barrio 1B,Avenida San José,-8.0628599,-79.0321708,-8.1785825,-78.9922665,ok
19977991,C-44 T2,25488,26,9,Barrio 1B,Avenida San José,-8.0628599,-79.0321708,-8.1785825,-78.9922665,ok
19990111,C-11 T1,23424,9,15,Panamericana Norte,Alto Porvenir,-8.1785825,-78.9922665,-8.0611029,-79.0286732,ok
19971440,C-20 UI,27865,12,8,Alto Trujillo,Valle Sol,-8.0477004,-79.0001258,-8.0676541,-78.9802670,ok
19972128,C-21 R,29044,12,8,Alto Trujillo,Valle Sol,-8.0477004,-79.0001258,-8.0676541,-78.9802670,ok
