relation_id,ref,length_m,gap_start_m,gap_end_m,from,to,start_lat,start_lon,end_lat,end_lon,severity
19962320,M-28 A,18198,115,183,Avenida los Pajuiles,Primavera III,-8.1279873,-79.0431418,-8.0567572,-79.0469554,ok
19971413,M-28 A,18010,183,115,Primavera III,Avenida los Pajuiles,-8.0567572,-79.0469554,-8.1279873,-79.0431418,ok
19967551,C-10 M,9753,181,26,Campiña de Moche,Avenida Los Incas,-8.1366916,-78.9922200,-8.1128508,-79.0198924,ok
19967562,C-10 M,9493,26,181,Avenida Los Incas,Campiña de Moche,-8.1128508,-79.0198924,-8.1366916,-78.9922200,ok
19968169,C-14 S,9872,103,181,Calle José Galvez,Campiña de Moche,-8.1133760,-79.0189392,-8.1366916,-78.9922200,ok
19972103,C-14 S,9499,181,22,Campiña de Moche,Calle José Galvez,-8.1366916,-78.9922200,-8.1128836,-79.0198386,ok
19970967,"C-24 H1, H2",32774,152,179,Calle 01,Avenida Larco,-8.0713647,-78.9499629,-8.0716110,-78.9499260,ok
19972158,"C-24 H1, H2",32815,152,179,Avenida Larco,Calle 01,-8.0713647,-78.9499629,-8.0716110,-78.9499260,ok
19966210,C-02 H,14437,48,169,Avenida Federico Villarreal,Avenida Alan García,-8.1032458,-79.0021649,-8.0638379,-79.0798396,ok
19966218,C-04 XS,18446,169,48,Calle de los Jasmines,Avenida Federico Villarreal,-8.0638379,-79.0798396,-8.1032458,-79.0021649,ok
19966224,C-04 XS,14953,48,169,Avenida Federico Villarreal,Calle de los Jasmines,-8.1032458,-79.0021649,-8.0638379,-79.0798396,ok
19946662,M-01 C,25536,105,165,Via Panamericana Norte,Avenida Manuel Seoane,-7.9920742,-79.0750650,-8.1468076,-79.0518622,ok
19946938,M-01 C,23546,165,107,Avenida Manuel Seoane,Via Panamericana Norte,-8.1468076,-79.0518622,-7.9919999,-79.0749009,ok
19972512,C-34 G,26268,165,42,Virgen del Socorro,Virgen del Socorro,-8.0855477,-79.0433957,-8.0843346,-79.0439431,ok
19968127,C-13 D,23570,75,160,Calle Miguiel Graú,Avenida 12 de Noviembre,-8.1882198,-79.0066016,-8.0633489,-79.0226286,ok
19968140,C-45 C,27434,75,160,Calle Miguiel Graú,Avenida 12 de Noviembre,-8.1882198,-79.0066016,-8.0633489,-79.0226286,ok
19972191,C-13 D,22432,74,160,Sector Taquila,Alto Trujillo,-8.1882523,-79.0066337,-8.0633489,-79.0226286,ok
19990165,C-45 C,26297,74,160,Calle Miguiel Graú,Avenida 12 de Noviembre,-8.1882523,-79.0066337,-8.0633489,-79.0226286,ok
19965855,C-01 B,19094,51,158,Calle Diego Quispe Tito,Calle José la Rivera,-8.1030470,-79.0022986,-8.0131333,-79.0682182,ok
19959151,M-05 H,43895,155,155,Avenida la Paz,Avenida la Paz,-8.0902207,-79.1155744,-8.0902207,-79.1155744,ok
19959184,M-06 B,32315,155,10,Avenida la Paz,Avenida Victor Raul Haya de la Torre,-8.0902207,-79.1155744,-8.1311220,-79.0444349,ok
19959196,M-06 B,32367,10,155,Avenida Victor Larco Herrera,Avenida la Paz,-8.1311220,-79.0444349,-8.0902207,-79.1155744,ok
19975974,M-05 H,43798,155,155,Avenida la Paz,Avenida la Paz,-8.0902207,-79.1155744,-8.0902207,-79.1155744,ok
