nombre,lat,lon,capa,fid,elaborado,supervisor
PAT-130,-8.057514437999941,-79.02196766599997,Consolidado,1067,,
PAT-131,-8.057556319999946,-79.02200653399996,Consolidado,1068,,
PAT-132,-8.054849415999968,-79.02337564799996,Consolidado,1069,,
PAT-133,-8.057685056999958,-79.02032910699995,Consolidado,1070,,
PAT-134,-8.056190705999938,-79.02260964099997,Consolidado,1071,,
PAT-135,-8.070127295999953,-79.02964599399996,Consolidado,1072,,
PAT-136,-8.07012778099994,-79.02971870699997,Consolidado,1073,,
PAT-137,-8.07026287399998,-79.03256121899994,Consolidado,1074,,
PAT-138,-8.070202320999954,-79.03256283199994,Consolidado,1075,,
PAT-139,-8.070202320999954,-79.03256283199994,Consolidado,1076,,
PAT-14,-8.054791157999944,-79.00246928399997,Consolidado,951,,
PAT-140,-8.066938113999981,-79.03286928399996,Consolidado,1077,,
PAT-141,-8.067774155999928,-79.03141095999996,Consolidado,1078,,
PAT-142,-8.067713761999926,-79.03143264799996,Consolidado,1079,,
PAT-143,-8.063680601999977,-79.02830443199997,Consolidado,1080,,
PAT-144,-8.063675082999964,-79.02827524099996,Consolidado,1081,,
PAT-145,-8.064682964999975,-79.03005104499994,Consolidado,1082,,
PAT-146,-8.064714890999937,-79.03003325999998,Consolidado,1083,,
PAT-147,-8.06580921899996,-79.03005419399994,Consolidado,1084,,
PAT-148,-8.065791962999981,-79.03002652899994,Consolidado,1085,,
PAT-149,-8.064410453999926,-79.03195656599996,Consolidado,1086,,
PAT-15,-8.051215774999946,-79.00127847299996,Consolidado,952,,
PAT-150,-8.06440207199995,-79.03199952499995,Consolidado,1087,,
PAT-151,-8.06497719899994,-79.03275909599995,Consolidado,1088,,
PAT-152,-8.06494904799996,-79.03276112499998,Consolidado,1089,,
PAT-153,-8.062628651999944,-79.03223122799994,Consolidado,1090,,
PAT-154,-8.06263028799998,-79.03218990299996,Consolidado,1091,,
PAT-155,-8.061212115999979,-79.02875510499996,Consolidado,1092,,
PAT-156,-8.066124714999944,-79.03024147799994,Consolidado,1093,,
PAT-157,-8.066093767999973,-79.03022982499994,Consolidado,1094,,
PAT-16,-8.04801340299997,-79.00023069099996,Consolidado,953,,
PAT-17,-8.047644108999975,-79.00003370099995,Consolidado,954,,
PAT-18,-8.067626188999952,-79.01298216299995,Consolidado,955,,
PAT-19,-8.067657847999953,-79.01299337499995,Consolidado,956,,
PAT-2,-8.054767051999931,-79.00251294599997,Consolidado,939,,
PAT-20,-8.066668323999977,-79.01025003399997,Consolidado,957,,
PAT-21,-8.06667717099998,-79.01031633599996,Consolidado,958,,
PAT-22,-8.065718856999979,-79.00775336399994,Consolidado,959,,
PAT-23,-8.065761326999962,-79.00773084199994,Consolidado,960,,
PAT-24,-8.065123325999934,-79.00465815599995,Consolidado,961,,
PAT-25,-8.065198600999963,-79.00462616099998,Consolidado,962,,
PAT-26,-8.066069867999943,-79.00698715099998,Consolidado,963,,
PAT-27,-8.066063991999954,-79.00695192799998,Consolidado,964,,
PAT-28,-8.063028350999957,-79.00750138099994,Consolidado,965,,
PAT-29,-8.061286951999932,-79.00657832399997,Consolidado,966,,
PAT-3,-8.058287795999945,-79.00359419899996,Consolidado,940,,
PAT-30,-8.057602482999926,-79.00565928799995,Consolidado,967,,
PAT-31,-8.05765078199994,-79.00557701299994,Consolidado,968,,
PAT-32,-8.054509934999942,-79.00470714799997,Consolidado,969,,
PAT-33,-8.05455939199993,-79.00461937699998,Consolidado,970,,
PAT-34,-8.052422632999935,-79.00595739599999,Consolidado,971,,
PAT-35,-8.052547279999942,-79.00607846199995,Consolidado,972,,
PAT-36,-8.049568387999955,-79.00328979699998,Consolidado,973,,
PAT-37,-8.048724923999941,-79.00636870999995,Consolidado,974,,
PAT-38,-8.050613487999954,-79.00796285999996,Consolidado,975,,
PAT-39,-8.050632611999958,-79.00792633599997,Consolidado,976,,
PAT-4,-8.061797411999976,-79.00463073799995,Consolidado,941,,
