fare_id,route_id
0,19946662
1,19946938
2,19950139
3,19950214
4,19953369
5,19953601
6,19959151
7,19959184
8,19959196
9,19959202
10,19959207
11,19959214
12,19959217
13,19959224
14,19961769
15,19961792
16,19961795
17,19961869
18,19961898
19,19961919
20,19961936
21,19961948
22,19961958
23,19961962
24,19962130
25,19962183
26,19962194
27,19962204
28,19962213
29,19962218
30,19962222
31,19962228
32,19962230
33,19962257
34,19962263
35,19962271
36,19962272
37,19962280
38,19962287
39,19962292
40,19962294
41,19962298
42,19962300
43,19962303
44,19962313
45,19962315
46,19962318
47,19962320
48,19962323
49,19962362
50,19962394
51,19962432
52,19962502
53,19965057
54,19965743
55,19965745
56,19965750
57,19965773
58,19965775
59,19965776
60,19965801
61,19965802
62,19965837
63,19965840
64,19965847
65,19965854
66,19965855
67,19966163
68,19966193
69,19966196
70,19966201
71,19966210
72,19966215
73,19966218
74,19966224
75,19966226
76,19966253
77,19966264
78,19966270
79,19966288
80,19966297
81,19967351
82,19967429
83,19967529
84,19967536
85,19967551
86,19967562
87,19967583
88,19967604
89,19967639
90,19967670
91,19967674
92,19967678
93,19967679
94,19968040
95,19968053
96,19968101
97,19968109
98,19968121
99,19968127
100,19968129
101,19968140
102,19968169
103,19968174
104,19968178
105,19968183
106,19968195
107,19968210
108,19968338
109,19968352
110,19968383
111,19968388
112,19970882
113,19970891
114,19970967
115,19971395
116,19971408
117,19971409
118,19971413
119,19971417
120,19971427
121,19971440
122,19971942
123,19971967
124,19971999
125,19972008
126,19972010
127,19972018
128,19972027
129,19972041
130,19972045
131,19972046
132,19972051
133,19972060
134,19972065
135,19972072
136,19972081
137,19972086
138,19972095
139,19972103
140,19972121
141,19972123
142,19972128
143,19972130
144,19972154
145,19972155
146,19972157
147,19972158
148,19972163
149,19972175
150,19972176
151,19972187
152,19972190
153,19972191
154,19972195
155,19972196
156,19972422
157,19972433
158,19972458
159,19972461
160,19972466
161,19972467
162,19972470
163,19972472
164,19972473
165,19972474
166,19972475
167,19972478
168,19972479
169,19972490
170,19972495
171,19972496
172,19972501
173,19972502
174,19972504
175,19972505
176,19972508
177,19972509
178,19972510
179,19972512
180,19972515
181,19972516
182,19972901
183,19972938
184,19973156
185,19973224
186,19973251
187,19973922
188,19973932
189,19973941
190,19973946
191,19973949
192,19973958
193,19975974
194,19976195
195,19976301
196,19976337
197,19977991
198,19988569
199,19988589
200,19988601
201,19988606
202,19988678
203,19988688
204,19988714
205,19988728
206,19988797
207,19988815
208,19990111
209,19990115
210,19990157
211,19990165
