trip_id,start_time,end_time,headway_secs,exact_times
176,05:00:00,22:00:00,300,1
177,05:00:00,23:00:00,300,1
178,05:00:00,23:00:00,300,1
179,05:00:00,23:00:00,300,1
180,05:00:00,23:00:00,300,1
181,05:03:00,23:00:00,300,1
182,05:03:00,23:00:00,300,1
183,05:00:00,23:00:00,300,1
184,05:00:00,23:00:00,300,1
185,03:20:00,19:00:00,300,1
186,03:30:00,19:00:00,300,1
187,03:30:00,19:00:00,300,1
188,05:00:00,23:00:00,300,1
189,05:00:00,23:00:00,300,1
190,05:00:00,23:00:00,300,1
191,05:50:00,22:00:00,300,1
192,05:00:00,23:00:00,300,1
193,05:00:00,23:00:00,300,1
194,05:00:00,23:00:00,300,1
195,05:00:00,23:00:00,300,1
196,03:20:00,19:00:00,300,1
197,03:20:00,19:00:00,300,1
198,03:30:00,19:00:00,300,1
199,03:30:00,19:00:00,300,1
200,05:00:00,22:00:00,300,1
201,05:00:00,22:00:00,300,1
202,05:08:00,23:00:00,300,1
203,05:08:00,23:00:00,300,1
204,05:09:00,23:00:00,300,1
205,05:09:00,23:00:00,300,1
206,05:00:00,23:00:00,300,1
207,05:00:00,23:00:00,300,1
208,04:15:00,22:00:00,300,1
209,04:15:00,22:00:00,300,1
